,source_genesymbol,type,target_genesymbol
107,KL,post_translational,TRPV6
108,PDZD3,post_translational,TRPV6
109,NIPSNAP1,post_translational,TRPV6
110,NUMB,post_translational,TRPV6
111,PTPN1,post_translational,TRPV6
112,RAB11A,post_translational,TRPV6
113,RGS2,post_translational,TRPV6
114,S100A10,post_translational,TRPV6
115,SRC,post_translational,TRPV6
116,NYX,post_translational,TRPM1
117,CALM3,post_translational,TRPM2
118,CALM1,post_translational,TRPM2
119,CALM2,post_translational,TRPM2
120,EFHC1,post_translational,TRPM2
121,PTPN13,post_translational,TRPM2
122,CALM3,post_translational,TRPM4
123,CALM1,post_translational,TRPM4
124,CALM2,post_translational,TRPM4
125,RACK1,post_translational,TRPM6
126,PHB2,post_translational,TRPM6
128,TRPM6,post_translational,TRPM7
130,RACK1,post_translational,TRPM7
131,HTR1B,post_translational,TRPM8
132,OPRM1,post_translational,TRPM8
133,PRKACA,post_translational,MCOLN1
134,MCOLN2,post_translational,MCOLN1
135,MCOLN1,post_translational,MCOLN2
137,MCOLN1,post_translational,MCOLN3
138,MCOLN2,post_translational,MCOLN3
139,PRKCSH,post_translational,PKD2
140,KIF3A,post_translational,PKD2
141,STX5,post_translational,PKD2
142,RACK1,post_translational,PKD2L2
144,CASP3,post_translational,EIF3J
145,CASP3,post_translational,ITGB4
147,MAPK14,post_translational,MAPKAPK2
148,MAPKAPK2,post_translational,HNRNPA0
149,TIA1,post_translational,GADD45A
150,HNRNPD,post_translational,GADD45A
151,MAPKAPK2,post_translational,PARN
152,HNRNPA0,post_translational,GADD45A
153,JAK2,post_translational,EPOR
155,ESPN,post_translational,MYO15A
156,GJB6,post_translational,GJB2
157,GJB2,post_translational,GJB6
158,MAPK14,post_translational,TIAL1
159,PARN,post_translational,GADD45A
160,NUMB,post_translational,NOTCH1
161,TIAL1,post_translational,GADD45A
162,ZIC1,post_translational,ATOH1
163,MAPK14,post_translational,ZFP36
164,HES5,post_translational,ATOH1
165,ATOH1,post_translational,HES5
166,MAPKAPK2,post_translational,ZFP36
168,JAG2,post_translational,NOTCH1
169,DLL1,post_translational,NOTCH1
171,SIX1,post_translational,LFNG
172,SIX1,post_translational,OTX2
173,SIX1,post_translational,HMX3
174,SIX1,post_translational,DLX5
175,SIX1,post_translational,OTX1
176,SIX1,post_translational,DACH1
177,SIX1,post_translational,DACH2
178,MYO7A,post_translational,PCDH15
179,PCDH15,post_translational,MYO7A
180,GABPA,post_translational,TXNRD1
181,GABPA,post_translational,TXN
182,MAPK3,post_translational,GABPA
183,MAPK1,post_translational,GABPA
184,TUB,post_translational,MAPK1
185,TUB,post_translational,MAPK3
186,PROX1,post_translational,GFI1
187,GFI1,post_translational,CDKN1C
188,KEAP1,post_translational,GABPA
189,PROX1,post_translational,ATOH1
190,GATA3,post_translational,FGF10
191,IGF2BP1,post_translational,BTRC
192,PAX3,post_translational,DACH2
193,DACH2,post_translational,PAX3
194,NFAT5,post_translational,AKR1B1
195,FOXI1,post_translational,PAX8
196,FGF3,post_translational,FOXI1
197,NFAT5,post_translational,SLC6A12
198,AKT1,post_translational,CHUK
199,NFAT5,post_translational,SLC5A3
200,CHUK,post_translational,NFKB1
202,PIK3R1,post_translational,AKT1
204,CDC73,post_translational,CPSF3
205,SYMPK,post_translational,CSTF1
206,CDK1,post_translational,RRM2
207,CASP3,post_translational,ACIN1
209,CDKN1A,post_translational,CDK1
210,TP53,post_translational,PRC1
211,TP53,post_translational,ATF3
214,TERF2,post_translational,ATM
215,MYCN,post_translational,MCM6
216,MDM2,post_translational,RRM2B
217,ATR,post_translational,XPA
218,MYCN,post_translational,MCM4
219,MYCN,post_translational,MCM5
220,MYCN,post_translational,MCM2
221,MYCN,post_translational,MCM3
222,E2F1,post_translational,CDCA4
224,KLF2,post_translational,CXCR4
225,IGF1,post_translational,IGF1R
227,CCL2,post_translational,MMP14
228,MMP14,post_translational,MMP2
229,ABL1,post_translational,TP73
231,PRKDC,post_translational,ABL1
232,MYCN,post_translational,MCM7
233,MYCN,post_translational,MCM8
234,ARNTL,post_translational,CRY2
235,CRY2,post_translational,ARNTL
236,ARNTL,post_translational,CRY1
237,CRY1,post_translational,ARNTL
238,NPAS2,post_translational,PER2
239,NPAS2,post_translational,PER1
240,ATAD2,post_translational,ESR1
241,ATAD2,post_translational,E2F1
242,USP28,post_translational,CLSPN
243,PRKN,post_translational,CCNE1
244,PCNA,post_translational,POLI
245,PRKN,post_translational,SEPTIN5
246,PCNA,post_translational,POLH
247,MYCN,post_translational,TP53
248,ATAD2,post_translational,MYC
249,ATAD2,post_translational,AR
250,USP7,post_translational,MDM2
251,USP7,post_translational,MDM4
252,RELA,post_translational,PTEN
254,E2F4,post_translational,RBL1
255,RBL2,post_translational,E2F5
256,RBL2,post_translational,E2F4
257,MDC1,post_translational,TP53BP1
258,RNF8,post_translational,H2AC20
259,MDC1,post_translational,RNF8
260,PRKN,post_translational,RANBP2
261,PRKN,post_translational,PUF60
262,PRKN,post_translational,SNCAIP
263,DCLRE1C,post_translational,XRCC4
264,PRKN,post_translational,CTNNB1
265,PRKN,post_translational,JUN
266,PRKN,post_translational,HSPA1B
267,PRKN,post_translational,ATXN2
269,BACE2,post_translational,APP
270,PRKN,post_translational,SNCA
272,BACE1,post_translational,APP
273,XRCC4,post_translational,PNKP
274,TP53BP1,post_translational,HDAC4
275,ADAM10,post_translational,APP
277,PREX2,post_translational,PTEN
278,PINK1,post_translational,TRAP1
279,PTPRD,post_translational,STAT3
280,XRCC1,post_translational,PNKP
282,PEBP1,post_translational,RAF1
283,USP28,post_translational,FBXW7
284,CDK2,post_translational,MYC
285,HBP1,post_translational,MYC
286,RPL11,post_translational,TRRAP
287,TRRAP,post_translational,MYC
288,MYC,post_translational,JAG2
289,FBXW7,post_translational,MYC
290,PAK1,post_translational,PXN
291,CASP3,post_translational,PRKDC
293,CASP3,post_translational,GSN
294,SMG1,post_translational,UPF1
295,ATM,post_translational,USP28
297,MAP2K4,post_translational,MAPK8
299,ULK1,post_translational,ATG13
300,ULK1,post_translational,RB1CC1
302,MTOR,post_translational,ATG13
304,SH3GLB1,post_translational,UVRAG
305,ATG13,post_translational,RB1CC1
306,MTOR,post_translational,ULK2
307,BECN1,post_translational,PIK3R4
309,TIAM1,post_translational,RAC1
310,HRAS,post_translational,TIAM1
312,ATG10,post_translational,ATG12
313,MTOR,post_translational,RPTOR
315,AKT1,post_translational,AKT1S1
316,DAPK1,post_translational,CAMKK2
319,DAPK1,post_translational,MAPK6
320,UVRAG,post_translational,PIK3R4
322,ULK2,post_translational,ATG13
323,UVRAG,post_translational,BECN1
326,AKT1S1,post_translational,RPTOR
327,MTOR,post_translational,AKT1S1
329,ULK2,post_translational,RB1CC1
331,MCL1,post_translational,BAD
332,ATG10,post_translational,ATG5
333,ATG7,post_translational,ATG3
334,HRAS,post_translational,PLCE1
336,MAPK14,post_translational,MAPKAPK5
338,MAPKAPK5,post_translational,TP53
339,ATG5,post_translational,ATG16L1
340,TP53,post_translational,MCL1
341,BNIP3,post_translational,BCL2
343,BNIP3,post_translational,BCL2L1
344,SPNS1,post_translational,BCL2
345,SPNS1,post_translational,BCL2L1
346,ATG4B,post_translational,MAP1LC3B
347,CALM1,post_translational,DAPK1
348,DAPK1,post_translational,MCM3
349,SH3GLB1,post_translational,PIK3C3
350,CAPN1,post_translational,BCL2
351,CAPN2,post_translational,BCL2
352,CAPN1,post_translational,BCL2L1
353,CAPN2,post_translational,BID
354,CAPN1,post_translational,BID
356,CASP3,post_translational,EIF4EBP1
357,CASP3,post_translational,SPTAN1
358,CASP3,post_translational,EIF4G1
359,CASP3,post_translational,BCAR1
360,CASP3,post_translational,EIF4G2
361,CASP3,post_translational,EIF4G3
363,CASP3,post_translational,BCL2
364,CASP2,post_translational,CYCS
365,CASP2,post_translational,DIABLO
366,CASP6,post_translational,NUMA1
367,CASP6,post_translational,VIM
368,CAPN2,post_translational,BCL2L1
369,CASP2,post_translational,AIFM1
370,CASP2,post_translational,RIPK1
373,CASP10,post_translational,RIPK1
374,CASP10,post_translational,BID
376,TOPBP1,post_translational,ATR
377,SGK1,post_translational,KCNQ4
378,POU4F3,post_translational,BDNF
379,ATOH1,post_translational,POU4F3
380,POU4F3,post_translational,GFI1
381,MYO15A,post_translational,WHRN
382,SOX2,post_translational,ATOH1
383,ATOH1,post_translational,BARHL1
384,ADGRV1,post_translational,ADCY6
385,ID3,post_translational,ATOH1
386,ID2,post_translational,ATOH1
387,NOTCH1,post_translational,PAX8
388,ID1,post_translational,ATOH1
389,KCNE1,post_translational,KCNQ4
390,NOTCH1,post_translational,FOXI2
391,WNT1,post_translational,FOXI2
392,E2F1,post_translational,BRCA1
393,TIRAP,post_translational,MYD88
394,SIX1,post_translational,PAX2
395,SIX1,post_translational,EYA1
396,FOXI1,post_translational,SIX1
397,PDPK1,post_translational,PRKCG
398,PDK1,post_translational,PRKCG
399,JAG1,post_translational,CDKN1B
400,E2F1,post_translational,EZH2
401,E2F2,post_translational,CCNB1
402,WNT1,post_translational,JAG1
403,WNT1,post_translational,NOTCH1
404,NOTCH1,post_translational,WNT1
405,NOTCH1,post_translational,ATOH1
406,WNT1,post_translational,DLX5
407,POU4F3,post_translational,NTF3
408,NOTCH1,post_translational,HES5
409,NOTCH1,post_translational,SOX2
410,NOTCH1,post_translational,BMP4
411,MYC,post_translational,NME1
412,RALB,post_translational,RALBP1
413,RALGDS,post_translational,RALA
414,RALBP1,post_translational,CDC42
415,RALBP1,post_translational,RAC1
416,WNT1,post_translational,GBX2
417,WNT1,post_translational,PAX2
418,WNT1,post_translational,PAX8
419,WNT1,post_translational,HES1
421,JAG1,post_translational,NOTCH1
422,NOTCH1,post_translational,HES1
423,WNT1,post_translational,SOX9
424,KIT,post_translational,GRB2
425,SIX1,post_translational,BMP4
426,SIX1,post_translational,FGF10
427,SIX1,post_translational,FGF3
428,EYA1,post_translational,FGF3
429,KCNQ4,post_translational,SLC26A5
430,PRKACG,post_translational,KCNQ4
431,SIX1,post_translational,GATA3
432,IKBKE,post_translational,IRF7
433,ERBB2,post_translational,GRB2
434,E2F1,post_translational,PCNA
435,AKT2,post_translational,CDKN1A
436,AKT1,post_translational,CDKN1B
437,VDR,post_translational,CASP3
438,RAD18,post_translational,RAD51C
439,PRKCG,post_translational,RAF1
440,SFRP1,post_translational,WNT4
441,SFRP2,post_translational,WNT1
442,MAB21L1,post_translational,FOXE3
443,PAX6,post_translational,CDH2
444,PAX6,post_translational,SHROOM3
445,SFRP1,post_translational,WNT2
446,SFRP1,post_translational,WNT1
447,PKNOX1,post_translational,PAX6
448,PAX6,post_translational,SFRP2
449,PAX6,post_translational,SFRP1
450,PAX6,post_translational,FN1
451,PAX6,post_translational,MAB21L1
453,BIRC2,post_translational,CASP3
454,CASP2,post_translational,BID
455,CASP3,post_translational,CASP2
458,BBC3,post_translational,MCL1
461,MCL1,post_translational,BAK1
463,BIRC6,post_translational,CASP9
464,PMAIP1,post_translational,GMCL1
466,MCL1,post_translational,BCL2L11
467,CDH1,post_translational,ARPC1B
468,MTOR,post_translational,ULK1
470,RHEB,post_translational,MTOR
471,TSC2,post_translational,RHEB
472,TSC2,post_translational,TSC1
474,ATG7,post_translational,MAP1LC3B
475,RHOA,post_translational,DIAPH1
476,AKT1,post_translational,TSC2
477,PMAIP1,post_translational,MCL1
478,RHOA,post_translational,ROCK2
479,ATG7,post_translational,ATG10
481,ATG7,post_translational,ATG12
482,ATG12,post_translational,ATG5
484,ATG3,post_translational,MAP1LC3B
485,CAMKK2,post_translational,PRKAG1
486,FOXO1,post_translational,NOXA1
487,E2F6,post_translational,RBBP8
488,CASP3,post_translational,NUMA1
489,BCL2L2,post_translational,BIK
490,DYNLL1,post_translational,BCL2L11
491,CFLAR,post_translational,CASP10
492,CASP7,post_translational,VIM
493,CASP7,post_translational,TNFRSF1A
494,CASP7,post_translational,ITGB4
495,CASP3,post_translational,VIM
497,CASP8,post_translational,CASP3
499,CASP10,post_translational,CASP3
500,CASP3,post_translational,PXN
501,PPP1CA,post_translational,BAD
502,CASP3,post_translational,PTK2
503,BCL2L11,post_translational,BCL2A1
504,BCL2L1,post_translational,APAF1
505,BCL2L11,post_translational,VDAC1
506,BCL2L1,post_translational,VDAC1
507,BAK1,post_translational,VDAC1
508,BAX,post_translational,VDAC1
510,DAPK1,post_translational,TP53
511,DAPK3,post_translational,RPL13A
512,CDKN2A,post_translational,BCL2L1
514,SMAD2,post_translational,DAPK1
515,UNC5B,post_translational,PPP2R3B
516,RHEB,post_translational,MLST8
517,ATG101,post_translational,ATG13
518,PMAIP1,post_translational,BAX
519,PRKCI,post_translational,BAD
520,MAPK8,post_translational,BCL2
521,DAPK1,post_translational,PRKD1
523,MIB1,post_translational,DAPK1
524,DAPK1,post_translational,BECN1
525,DAPK1,post_translational,STX1A
526,DAPK1,post_translational,RPS6
527,BBC3,post_translational,BCL2A1
529,BBC3,post_translational,BAX
531,HRK,post_translational,BCL2L1
532,HRK,post_translational,BCL2
533,RHEB,post_translational,FKBP8
534,FKBP8,post_translational,MTOR
535,PMAIP1,post_translational,BCL2A1
536,PRKCZ,post_translational,FADD
537,PIDD1,post_translational,CASP2
538,PIDD1,post_translational,IKBKG
541,RPS6KA3,post_translational,RPTOR
542,FAS,post_translational,CASP8AP2
543,RPS6KA1,post_translational,RPTOR
545,CASP8AP2,post_translational,CASP8
547,MAP2K1,post_translational,MAPK3
548,MAPK3,post_translational,RPS6KA3
550,MAPK1,post_translational,RPS6KA1
552,DAPK3,post_translational,MYL9
553,MAPK1,post_translational,RPS6KA3
555,MAPK1,post_translational,DAPK1
557,SRC,post_translational,DAPK1
558,PTPRF,post_translational,DAPK1
560,DAPK1,post_translational,DAPK3
561,DAPK1,post_translational,TSC2
562,MAPK3,post_translational,DAPK1
564,HSP90AA1,post_translational,DAPK1
565,NEO1,post_translational,DAPK1
566,RRAS,post_translational,RAF1
568,UNC5B,post_translational,DAPK1
569,RPS6KA1,post_translational,DAPK1
570,RPS6KA3,post_translational,DAPK1
571,RAF1,post_translational,MAP2K1
573,GSN,post_translational,ACTG1
574,DAPK3,post_translational,NR3C1
575,DAPK3,post_translational,PPP1R14A
576,DAPK3,post_translational,PPP1R12A
577,CTNNB1,post_translational,DAPK2
578,DAPK3,post_translational,AR
579,ROCK1,post_translational,DAPK3
580,PPP1R14A,post_translational,PPP1CA
581,DAPK1,post_translational,TLN1
582,TLN1,post_translational,ITGB1
583,DAPK1,post_translational,ITGA3
584,DAPK1,post_translational,CDKN2A
586,SMAD4,post_translational,DAPK1
587,SMAD3,post_translational,DAPK1
588,STAT3,post_translational,WNT5A
589,ATM,post_translational,MDC1
591,TP53,post_translational,AIFM2
592,TP53,post_translational,ANLN
593,TP53,post_translational,ABCB1
595,TP53,post_translational,ACTA2
596,TP53,post_translational,ARID3A
597,TP53,post_translational,ADGRB1
598,TP53,post_translational,APC
599,ELAVL1,post_translational,SIRT1
600,CHEK2,post_translational,ELAVL1
601,E2F3,post_translational,CCNB1
602,CHEK1,post_translational,WEE1
603,E2F1,post_translational,EED
604,WNT5A,post_translational,FZD2
605,PUF60,post_translational,MYC
606,PUF60,post_translational,FUBP1
607,AKT1,post_translational,CDKN1A
608,FUBP1,post_translational,MYC
609,CDKN1A,post_translational,E2F1
611,E2F3,post_translational,CDKN2A
615,E2F4,post_translational,CLSPN
617,E2F2,post_translational,CDKN2A
620,E2F1,post_translational,CDT1
622,E2F1,post_translational,CDKN2A
625,E2F2,post_translational,PCNA
626,E2F6,post_translational,BRCA1
627,E2F6,post_translational,CBX5
630,UBE2T,post_translational,FANCI
632,TP53,post_translational,DNMT1
633,SUMO1,post_translational,PML
634,UBE2T,post_translational,FANCD2
635,TP53,post_translational,EGFR
636,MAPKAPK2,post_translational,CDC25A
637,TP53,post_translational,EPHA2
638,CHEK1,post_translational,CDC25B
639,TP53,post_translational,EDN2
640,MAPKAPK2,post_translational,CDC25C
641,TP53,post_translational,EEF1A1
642,MAPKAPK2,post_translational,CDC25B
643,TP53,post_translational,HTT
644,TP53,post_translational,GPX1
645,TP53,post_translational,GML
646,TP53,post_translational,FANCC
647,TP53,post_translational,HGF
648,ATM,post_translational,SLX4
649,STAT1,post_translational,FAS
650,STAT1,post_translational,CDKN1A
651,NFE2L2,post_translational,PRDX1
652,ATM,post_translational,BID
653,KDM2B,post_translational,PRDX4
654,KDM2B,post_translational,NQO1
655,ATR,post_translational,RBBP8
657,ATR,post_translational,FANCI
658,E2F1,post_translational,APAF1
659,CDK1,post_translational,E2F1
661,E2F2,post_translational,EED
662,MTOR,post_translational,EIF4EBP3
663,MTOR,post_translational,EIF4EBP2
664,MAPKAPK2,post_translational,TSC1
665,TP53,post_translational,BDKRB2
666,TP53,post_translational,BID
667,MAP3K8,post_translational,MAP3K14
668,IKBKB,post_translational,TSC1
669,TP53,post_translational,BCL2L14
670,MAP3K8,post_translational,MAP2K4
671,AKT1,post_translational,RICTOR
673,EIF4EBP2,post_translational,EIF4E
674,EIF4EBP1,post_translational,EIF4E
675,MTOR,post_translational,EIF4EBP1
677,EIF4EBP3,post_translational,EIF4E
678,TP53,post_translational,CCNK
679,BCL10,post_translational,IKBKG
680,TP53,post_translational,CASP6
681,TP53,post_translational,CASP10
683,TP53,post_translational,CASP1
685,MAP3K14,post_translational,IKBKB
686,TP53,post_translational,RGCC
687,TP53,post_translational,BNIP3L
690,TP53,post_translational,BIRC5
691,TNIP1,post_translational,IKBKG
692,E2F2,post_translational,EZH2
693,E2F4,post_translational,CDT1
694,E2F1,post_translational,DBF4
695,CCNA2,post_translational,E2F1
697,IL22,post_translational,IL10RB
698,TP53,post_translational,CD82
699,EPO,post_translational,EPOR
701,TP53,post_translational,CDC25C
703,MAPKAPK2,post_translational,TSC2
704,TP53,post_translational,CHMP4C
705,TP53,post_translational,COL18A1
706,JAK2,post_translational,STAT3
707,TP53,post_translational,DKK1
708,TP53,post_translational,DDR1
709,KSR2,post_translational,MAP3K8
710,CHEK2,post_translational,TP53
712,NFKB1,post_translational,MAP3K8
714,TP53,post_translational,CTSD
715,ATM,post_translational,STK11
716,TP53,post_translational,CRYZ
717,TP53,post_translational,DDIT4
719,HIPK2,post_translational,TP53
720,TP53,post_translational,CX3CL1
721,ATM,post_translational,HIPK2
722,ATM,post_translational,PPP2R5D
723,ATM,post_translational,PPP2R5C
724,CASP1,post_translational,GAPDH
725,CXCL16,post_translational,CXCR6
726,CASP1,post_translational,IL37
727,CASP1,post_translational,CASP7
728,GTF2I,post_translational,CCND1
729,KLKB1,post_translational,PRKAG1
730,CASP1,post_translational,IL33
731,CCL3L1,post_translational,CCR5
732,ASF1A,post_translational,CHAF1B
734,TNFSF10,post_translational,TNFRSF10C
736,MAP3K7,post_translational,IKBKB
737,STK11,post_translational,PRKAG1
738,ASF1B,post_translational,CHAF1B
739,TNFRSF10A,post_translational,TNFRSF10B
740,KAT8,post_translational,H4-16
741,PARP1,post_translational,SUPT16H
742,TNFRSF10A,post_translational,RIPK1
744,TNFRSF10B,post_translational,RIPK1
746,NMI,post_translational,STAT1
747,KRT18,post_translational,TRADD
748,MYC,post_translational,PMAIP1
749,ATM,post_translational,ABL1
750,TNFRSF10A,post_translational,TRADD
751,TNFRSF10B,post_translational,TRADD
752,TRAF2,post_translational,BIRC2
756,IRF1,post_translational,ISG20
759,PRKDC,post_translational,UPF1
760,STAT1,post_translational,SOCS1
761,IL10,post_translational,IL10RA
762,NLRP1,post_translational,CASP5
763,CASP1,post_translational,FGF2
764,CASP1,post_translational,PYCARD
766,CARD18,post_translational,CASP1
767,IRF1,post_translational,NOS2
768,ISG15,post_translational,JAK1
769,CARD16,post_translational,CASP1
770,JAK1,post_translational,IRS1
772,CASP1,post_translational,IL1A
773,JAK1,post_translational,IRS2
774,CASP1,post_translational,SREBF2
775,INSR,post_translational,IRS2
776,ATF2,post_translational,MMP2
777,E2F1,post_translational,TP53INP1
778,TP53,post_translational,FDXR
779,STAT1,post_translational,CDKN1B
780,CASP1,post_translational,ENO1
781,TRAF2,post_translational,MAP3K14
783,ABL1,post_translational,STAT1
785,IFIH1,post_translational,MAVS
786,TP53,post_translational,TIGAR
787,CASP1,post_translational,TPI1
788,TP73,post_translational,TP53INP1
789,NOD2,post_translational,MAP3K14
790,PRKDC,post_translational,CASP2
791,ABL1,post_translational,TOP1
792,PIDD1,post_translational,PRKDC
793,STAT1,post_translational,MYC
794,ANO9,post_translational,STAT1
795,STAT1,post_translational,IRF1
796,CASP1,post_translational,ALDOA
797,EIF2AK2,post_translational,STAT1
799,TICAM1,post_translational,RIPK1
800,TICAM1,post_translational,TBK1
803,TICAM1,post_translational,IKBKE
804,IFNG,post_translational,IFNGR1
807,IRF7,post_translational,IFNB1
808,IRF3,post_translational,IFIT1
811,IRF3,post_translational,CCL5
812,DAPK1,post_translational,TPM1
813,MAP1B,post_translational,DAPK1
814,DAPK1,post_translational,MAP1B
815,ATM,post_translational,SMC3
816,E2F1,post_translational,DAPK2
817,EPO,post_translational,DAPK2
818,DAPK3,post_translational,CDKN1A
819,ZDHHC9,post_translational,HRAS
820,ZDHHC9,post_translational,NRAS
821,KLF6,post_translational,DAPK2
822,IGF2,post_translational,IGF2R
825,FLT3LG,post_translational,FLT3
827,KITLG,post_translational,KIT
828,IGF2,post_translational,IGF1R
830,ATM,post_translational,STRAP
831,SMG1,post_translational,TP53
832,CHEK2,post_translational,STRAP
833,TLR4,post_translational,TIRAP
834,KAT2B,post_translational,H3C8
835,TLR4,post_translational,TICAM2
836,TICAM2,post_translational,TICAM1
838,TRAF6,post_translational,MAP3K7
839,TICAM1,post_translational,TRAF6
840,TLR3,post_translational,TICAM1
841,MYD88,post_translational,IRAK4
843,ATG14,post_translational,BECN1
844,SIRT2,post_translational,FOXO1
845,FOXO1,post_translational,ATG7
846,RUBCN,post_translational,BECN1
847,CARD8,post_translational,CASP9
848,CARD8,post_translational,APAF1
849,SERPINB9,post_translational,CASP1
850,CASP1,post_translational,CARD8
852,DAPK3,post_translational,MYL12A
853,DAPK1,post_translational,MYL12A
854,ROCK1,post_translational,MYL12A
855,TP53,post_translational,BCL2
857,MTOR,post_translational,DAP
858,CFLAR,post_translational,ATG3
859,DAPK3,post_translational,MYL5
860,RPS6KA3,post_translational,BAD
861,CASP3,post_translational,EIF2S2
862,RPS6KB1,post_translational,RPS6
864,DAPK1,post_translational,BCL2
865,CDK1,post_translational,BIRC5
866,CASP3,post_translational,EIF2S3
867,TP53,post_translational,TYRP1
868,GAPDH,post_translational,RHEB
869,TP53,post_translational,UBD
870,USP3,post_translational,H2AZ1
871,TP53,post_translational,VCAN
872,TP53,post_translational,VDR
873,TP53,post_translational,TRIAP1
874,TP53,post_translational,TRIM22
875,TP53,post_translational,TSC2
876,TP53,post_translational,TRPM2
877,AKT1,post_translational,ITPR1
878,GAPDH,post_translational,APEX1
879,CAMKK1,post_translational,CRMP1
880,GAPDH,post_translational,POU2F1
881,POU2F1,post_translational,H2BC11
882,SFPQ,post_translational,NONO
883,NONO,post_translational,TOP1
884,APLF,post_translational,PARP1
886,ATM,post_translational,TRIM28
887,CHEK1,post_translational,RAD51
889,NOS1,post_translational,NFKBIA
890,GSK3B,post_translational,GYS1
891,PPP1R3A,post_translational,GYS1
893,GSK3B,post_translational,AXIN1
894,CSNK1A1,post_translational,PRKN
895,E2F7,post_translational,SP1
897,GSK3B,post_translational,LRP6
898,USP1,post_translational,FANCD2
899,MAPK8,post_translational,YWHAZ
900,BCL2,post_translational,BECN1
901,CHEK2,post_translational,CDC25A
902,PLK1,post_translational,WEE1
903,ATM,post_translational,HMGA2
904,AKT1,post_translational,NOS3
905,ATM,post_translational,HMGA1
906,CDK5,post_translational,PRKN
907,CSNK1A1,post_translational,CTNNB1
908,CSNK1A1,post_translational,CDC25A
911,CHEK1,post_translational,TP53
913,TP53,post_translational,PLAGL1
915,E2F1,post_translational,CASP3
916,TP53,post_translational,ODC1
917,TP53,post_translational,NOS3
918,TP53,post_translational,PERP
919,TP53,post_translational,P2RX6
920,PPARG,post_translational,KMT5A
